s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 3.9515066E+000, 0.0000000E+000,-8.1609030E-005, 1.9874678E-004, 4.5605421E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7263997E-005, 1.2169829E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0644069E+000, 0.0000000E+000,-5.1644603E-005, 1.0476271E-004, 4.5967305E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7013548E-005, 5.7714836E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1773071E+000, 0.0000000E+000,-5.1634076E-005, 1.6273622E-005, 4.5918074E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6370040E-005,-3.0768647E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2902074E+000, 0.0000000E+000,-5.1623597E-005,-7.2470902E-005, 4.5918083E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6163953E-005,-1.1950269E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4031072E+000, 0.0000000E+000,-3.1597144E-005,-1.6049764E-004, 4.6234807E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5964758E-005,-1.8747131E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5160074E+000, 2.0390515E-002,-3.1591369E-005,-2.6477898E-004, 4.6087615E-006, 2.0121020E-005, 0.0000000E+000, 0.0000000E+000,-2.5432889E-005, 2.0118874E-002, 0.0000000E+000, 4.8222586E-006, 0.0000000E+000
 4.6289077E+000, 2.0551386E-001,-3.6297058E-005,-5.0937086E-004,-5.0371051E-006, 1.7011875E-004, 0.0000000E+000, 0.0000000E+000, 2.0713158E-002, 2.0513328E-001, 0.0000000E+000, 4.1593588E-005, 0.0000000E+000
 4.7418079E+000, 6.0041009E-001,-5.7498828E-005,-6.9642135E-004,-1.0250572E-004, 3.1448831E-004, 0.0000000E+000, 0.0000000E+000, 2.0896686E-001, 5.9986816E-001, 0.0000000E+000, 7.8364917E-005, 0.0000000E+000
 4.8547082E+000, 1.0820630E+000,-1.9971542E-004,-7.5647954E-004,-3.8714813E-004, 4.4670564E-004, 0.0000000E+000, 0.0000000E+000, 6.1030202E-001, 1.0811663E+000, 0.0000000E+000, 1.1320091E-004, 0.0000000E+000
 4.9676085E+000, 1.6031338E+000,-4.6557057E-004,-5.8925114E-004,-1.0514598E-003, 5.8227333E-004, 0.0000000E+000, 0.0000000E+000, 1.0993940E+000, 1.6016098E+000, 0.0000000E+000, 1.4997224E-004, 0.0000000E+000
 5.0805087E+000, 2.0408837E+000,-8.7320118E-004, 9.3959099E-005,-2.1875159E-003, 6.2235068E-004, 0.0000000E+000, 0.0000000E+000, 1.6287900E+000, 2.0385393E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
 5.1934085E+000, 2.2863332E+000,-1.4432107E-003, 1.4405708E-003,-3.7927143E-003, 6.2441979E-004, 0.0000000E+000, 0.0000000E+000, 2.0752489E+000, 2.2831623E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
 5.3063087E+000, 2.3979239E+000,-2.1334826E-003, 3.6166936E-003,-5.7254890E-003, 6.2704680E-004, 0.0000000E+000, 0.0000000E+000, 2.3236413E+000, 2.3943087E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
 5.4192090E+000, 2.4474088E+000,-2.8737171E-003, 6.8303982E-003,-7.8352591E-003, 6.3023743E-004, 0.0000000E+000, 0.0000000E+000, 2.4316129E+000, 2.4441605E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
 5.5321093E+000, 2.4694960E+000,-3.7354879E-003, 1.1262293E-002,-1.0051473E-002, 6.3369481E-004, 0.0000000E+000, 0.0000000E+000, 2.4778990E+000, 2.4676050E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
 5.6450095E+000, 2.4795398E+000,-4.6545571E-003, 1.7017382E-002,-1.2299183E-002, 6.3771291E-004, 0.0000000E+000, 0.0000000E+000, 2.4975328E+000, 2.4802411E+000, 0.0000000E+000, 1.6074195E-004, 0.0000000E+000
